model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7931769722814499,0.6416382252559727,0.5026737967914439,0.5637181409295352,0.8349079313147418
Random Forest,0.7953091684434968,0.66796875,0.4572192513368984,0.5428571428571428,0.8292756159050789
Support Vector Machine,0.7882018479033405,0.6826923076923077,0.37967914438502676,0.4879725085910653,0.8071812021473203
Gradient Boosting,0.7910447761194029,0.65625,0.44919786096256686,0.5333333333333333,0.8345662651226116
AdaBoost,0.7953091684434968,0.6592592592592592,0.47593582887700536,0.5527950310559007,0.8285353391554633
Decision Tree,0.7917555081734187,0.6613545816733067,0.44385026737967914,0.5312,0.8123372555921955
K-Nearest Neighbors,0.7412935323383084,0.5141242937853108,0.48663101604278075,0.5,0.780693012926371
Gaussian NB,0.6510305614783227,0.42292490118577075,0.8582887700534759,0.5666372462488968,0.8044763447929555
Extra Trees,0.7960199004975125,0.6593406593406593,0.48128342245989303,0.5564142194744977,0.8326922778263818
